id,propositions,nl_sentence,dataset_tl
1392,"['venture_to_house', 'present_at_flag']",at any time venture to house and when possible present at flag,F(venture_to_house)&F(present_at_flag)
2730,"['stop_by_trash_can', 'come_home']",when possible stop by trash can or at some time come home,F(stop_by_trash_can)|F(come_home)
1209,"['drop_apple', 'go_by_waste_basket']",never drop apple and when possible go by waste basket,G(~(drop_apple))&F(go_by_waste_basket)
1843,"['move_to_house', 'secure_pear']",move to house and whenever secure pear,move_to_house&F(secure_pear)
1370,"['take_to_trashcan', 'take_to_trashcan']",take to trashcan and take to trashcan,take_to_trashcan&take_to_trashcan
1431,"['bring_pear', 'venture_towards_house']",at some time bring pear means that venture towards house,F(bring_pear)->venture_towards_house
3955,"['contact_flag', 'go_to_house']",at some time contact flag or whenever go to house,F(contact_flag)|F(go_to_house)
1478,"['withhold_apple', 'withhold_apple']",when possible withhold apple and at some time withhold apple,F(withhold_apple)&F(withhold_apple)
1313,"['seize_pear', 'show_yourself_near_house']",at any time seize pear and at some time show yourself near house,F(seize_pear)&F(show_yourself_near_house)
4210,"['proceed_to_flag', 'go_by_trash_can']",whenever proceed to flag or always go by trash can,F(proceed_to_flag)|G(go_by_trash_can)
3147,"['procure_apple', 'gather_pear']",procure apple and whenever gather pear,procure_apple&F(gather_pear)
1697,"['reach_flag', 'go_by_waste_bin']",at any time reach flag until go by waste bin,F(reach_flag)Ugo_by_waste_bin
4598,"['pick_up_fruit', 'proceed_to_tree']",pick up fruit and at some time proceed to tree,pick_up_fruit&F(proceed_to_tree)
5218,"['advance_to_house', 'go_to_trash_receptacle']",when possible advance to house or when possible go to trash receptacle,F(advance_to_house)|F(go_to_trash_receptacle)
3110,"['haul_pear', 'get_pear']",whenever haul pear or at any time get pear,F(haul_pear)|F(get_pear)
5035,"['go_to_pear', 'move_to_house']","when repeatedly go to pear , move to house",G(F(go_to_pear))->move_to_house
3582,"['take_to_trash_can', 'take_orange']","when take to trash can , take orange",take_to_trash_can->take_orange
3382,"['visit_tree', 'get_hold_orange']",visit tree or at some time get hold orange,visit_tree|F(get_hold_orange)
1794,"['stop_by_flag', 'grasp_pear']",stop by flag or at some time grasp pear,stop_by_flag|F(grasp_pear)
3843,"['get_orange', 'proceed_to_house']",at some time get orange means that at any time proceed to house,F(get_orange)->F(proceed_to_house)
1137,"['move_to_house', 'procure_orange']",move to house or at some time procure orange,move_to_house|F(procure_orange)
2179,"['go_to_trash_receptacle', 'grasp_orange']","if at some time go to trash receptacle , grasp orange",F(go_to_trash_receptacle)->grasp_orange
5708,"['drop_orange', 'venture_to_trash_can']","when never drop orange , venture to trash can",G(~(drop_orange))->venture_to_trash_can
2044,"['go_home', 'shift_to_flag']",at any time go home and whenever shift to flag,F(go_home)&F(shift_to_flag)
2715,"['collect_orange', 'walk_to_flag']",when possible collect orange and when possible walk to flag,F(collect_orange)&F(walk_to_flag)
1503,"['venture_to_house', 'go_by_waste_bin']",at some time venture to house or go by waste bin,F(venture_to_house)|go_by_waste_bin
1970,"['go_by_waste_bin', 'drop_apple']",go by waste bin and never drop apple,go_by_waste_bin&G(~(drop_apple))
5377,"['tax_apple', 'grasp_orange']",at any time tax apple or grasp orange,F(tax_apple)|grasp_orange
1541,"['venture_flag', 'go_to_transh_can']",whenever venture flag until at any time go to transh can,F(venture_flag)UF(go_to_transh_can)
1804,"['go_by_waste_bin', 'venture_to_house']",go by waste bin or whenever venture to house,go_by_waste_bin|F(venture_to_house)
2526,"['scoop_up_apple', 'take_to_trash_can']",at some time scoop up apple and take to trash can,F(scoop_up_apple)&take_to_trash_can
1027,"['contact_house', 'make_your_way_flag']",when possible contact house or at any time make your way flag,F(contact_house)|F(make_your_way_flag)
3555,"['proceed_to_tree', 'drop_orange']",whenever proceed to tree or never drop orange,F(proceed_to_tree)|G(~(drop_orange))
1526,"['reach_flag', 'reach_flag']",when possible reach flag or at any time reach flag,F(reach_flag)|F(reach_flag)
1027,"['got_to_house', 'venture_flag']",whenever got to house and whenever venture flag,F(got_to_house)&F(venture_flag)
1776,"['move_to_trashcan', 'have_in_orange']",move to trashcan and always have in orange,move_to_trashcan&G(have_in_orange)
1453,"['withdraw_pear', 'move_to_trashcan']",at any time withdraw pear or move to trashcan,F(withdraw_pear)|move_to_trashcan
4494,"['procure_orange', 'seize_apple']",at any time procure orange and seize apple,F(procure_orange)&seize_apple
1115,"['venture_flag', 'stop_by_house']",when possible venture flag or at any time stop by house,F(venture_flag)|F(stop_by_house)
3290,"['take_to_trash_can', 'have_possession_of_apple']",take to trash can and whenever have possession of apple,take_to_trash_can&F(have_possession_of_apple)
1833,"['visit_flag', 'visit_tree']",when possible visit flag or visit tree,F(visit_flag)|visit_tree
4157,"['move', 'pick_up_apple']",forever move can infer that at some time pick up apple,G(move)->F(pick_up_apple)
1621,"['pick_up_pear', 'obtain_apple']",pick up pear or when possible obtain apple,pick_up_pear|F(obtain_apple)
2025,"['hold_on_pear', 'snag_orange']",always hold on pear and at some time snag orange,G(hold_on_pear)&F(snag_orange)
5159,"['go_to_orange', 'pass_by_waste_receptacle']","when go to orange , when possible pass by waste receptacle",go_to_orange->F(pass_by_waste_receptacle)
1292,"['hold_pear', 'get_close_tree']",hold pear and when possible get close tree,hold_pear&F(get_close_tree)
1302,"['drop_apple', 'drop_apple']",never drop apple and never drop apple,G(~(drop_apple))&G(~(drop_apple))
4092,"['go_by_house', 'make_way_for_tree']",when possible go by house and whenever make way for tree,F(go_by_house)&F(make_way_for_tree)
2013,"['procure_pear', 'drop_pear']",at any time procure pear or never drop pear,F(procure_pear)|G(~(drop_pear))
1409,"['steal_apple', 'drop_orange']",at some time steal apple or never drop orange,F(steal_apple)|G(~(drop_orange))
1329,"['keep_apple', 'move_to_trashcan']",keep apple and move to trashcan,keep_apple&move_to_trashcan
3279,"['hold_on_to_pear', 'go_to_trash_receptacle']",hold on to pear or whenever go to trash receptacle,hold_on_to_pear|F(go_to_trash_receptacle)
1476,"['go_to_transh_can', 'go_to_orange_bin']",whenever go to transh can and go to orange bin,F(go_to_transh_can)&go_to_orange_bin
1246,"['secure_apple', 'bring_pear']",secure apple and at any time bring pear,secure_apple&F(bring_pear)
2557,"['pick_up_orange', 'walk_near_flag']",pick up orange or whenever walk near flag,pick_up_orange|F(walk_near_flag)
1970,"['journey_by_flag', 'reach_house']",at any time journey by flag and reach house,F(journey_by_flag)&reach_house
1229,"['stop_by_house', 'have_pear']",at some time stop by house and when possible have pear,F(stop_by_house)&F(have_pear)
2437,"['let_go_orange', 'approach_trash_can']",don't let go orange and approach trash can,~(let_go_orange)&approach_trash_can
5891,"['venture_to_waste_basket', 'go_to_house']",at any time venture to waste basket and whenever go to house,F(venture_to_waste_basket)&F(go_to_house)
1928,"['drop_apple', 'go_by_waste_bin']",never drop apple and go by waste bin,G(~(drop_apple))&go_by_waste_bin
4690,"['pick_up_peach', 'have_possession_of_apple']",whenever pick up peach and when possible have possession of apple,F(pick_up_peach)&F(have_possession_of_apple)
2313,"['get_near_flag', 'spend_time_at_tree']",at some time get near flag or when possible spend time at tree,F(get_near_flag)|F(spend_time_at_tree)
5741,"['hold_apple', 'steal_apple']",hold apple and at any time steal apple,hold_apple&F(steal_apple)
1904,"['acquire_orange', 'pick_up_apple']",acquire orange or at some time pick up apple,acquire_orange|F(pick_up_apple)
1604,"['hold_on_pear', 'journey_by_flag']","when forever hold on pear , whenever journey by flag",G(hold_on_pear)->F(journey_by_flag)
4272,"['contact_house', 'pick_up_orange']",whenever contact house and pick up orange,F(contact_house)&pick_up_orange
5851,"['pick_up_apple', 'grab_apple']",at any time pick up apple and whenever grab apple,F(pick_up_apple)&F(grab_apple)
5972,"['grab_orange', 'drop_orange']",whenever grab orange and never drop orange,F(grab_orange)&G(~(drop_orange))
1067,"['journey_to_tree', 'reach_tree']",at any time journey to tree or whenever reach tree,F(journey_to_tree)|F(reach_tree)
5873,"['venture_to_trash_can', 'make_contact_flag']",venture to trash can or at any time make contact flag,venture_to_trash_can|F(make_contact_flag)
3052,"['go_to_house', 'go_by_trash_can']",at some time go to house and forever go by trash can,F(go_to_house)&G(go_by_trash_can)
2802,"['let_go_pear', 'scoop_up_apple']","when do not let go pear , whenever scoop up apple",~(let_go_pear)->F(scoop_up_apple)
5879,"['grab_pear', 'get_hold_apple']",when possible grab pear or when possible get hold apple,F(grab_pear)|F(get_hold_apple)
4810,"['put_in_bin', 'go_home']",put in bin until when possible go home,put_in_binUF(go_home)
1312,"['venture_to_waste_basket', 'let_go_orange']","if at any time venture to waste basket , never let go orange",F(venture_to_waste_basket)->G(~(let_go_orange))
3785,"['go_to_waste_basket', 'proceed_to_flag']",repeatedly go to waste basket or at any time proceed to flag,G(F(go_to_waste_basket))|F(proceed_to_flag)
1496,"['venture_to_trash_can', 'make_contact_flag']",venture to trash can until whenever make contact flag,venture_to_trash_canUF(make_contact_flag)
4270,"['withold_apple', 'seize_pear']","if when possible withold apple , at some time seize pear",F(withold_apple)->F(seize_pear)
4274,"['pass_by_trash_bin', 'take_to_trash_can']",when possible pass by trash bin and take to trash can,F(pass_by_trash_bin)&take_to_trash_can
5039,"['get_apple', 'pick_up_fruit']",at some time get apple until pick up fruit,F(get_apple)Upick_up_fruit
2094,"['going_to_house', 'grasp_orange']",when possible going to house or grasp orange,F(going_to_house)|grasp_orange
5110,"['get_close_tree', 'pass_by_trash_bin']",when possible get close tree and at any time pass by trash bin,F(get_close_tree)&F(pass_by_trash_bin)
2226,"['seize_apple', 'grab_apple']",seize apple or at some time grab apple,seize_apple|F(grab_apple)
4886,"['get_pear', 'go_past_house']",at any time get pear or at some time go past house,F(get_pear)|F(go_past_house)
3360,"['journey_to_tree', 'reach_tree']",whenever journey to tree or at any time reach tree,F(journey_to_tree)|F(reach_tree)
5537,"['move_to_house', 'walk_to_flag']",move to house or at any time walk to flag,move_to_house|F(walk_to_flag)
1573,"['show_yourself_near_house', 'drop_apple']",whenever show yourself near house and never drop apple,F(show_yourself_near_house)&G(~(drop_apple))
2909,"['scoop_up_apple', 'go_by_trash_can']",whenever scoop up apple or forever go by trash can,F(scoop_up_apple)|G(go_by_trash_can)
2160,"['going_to_flag', 'pick_up_orange']",when possible going to flag or pick up orange,F(going_to_flag)|pick_up_orange
2518,"['move_to_tree', 'pass_by_trash_bin']",move to tree or whenever pass by trash bin,move_to_tree|F(pass_by_trash_bin)
5593,"['move_to_tree', 'obtain_apple']",move to tree or at any time obtain apple,move_to_tree|F(obtain_apple)
4243,"['go_past_house', 'get_apple']",whenever go past house or whenever get apple,F(go_past_house)|F(get_apple)
2408,"['collect_apple', 'go_past_house']",whenever collect apple or when possible go past house,F(collect_apple)|F(go_past_house)
3111,"['approach_flag', 'gather_pear']",when possible approach flag or at any time gather pear,F(approach_flag)|F(gather_pear)
2215,"['let_go', 'grab_orange']",never let go or whenever grab orange,G(~(let_go))|F(grab_orange)
4919,"['gather_apple', 'go_home']",gather apple or when possible go home,gather_apple|F(go_home)
1952,"['go_to', 'pear_bin', 'venture_house']",at some time go to pear bin or when possible venture house,F(go_topear_bin)|F(venture_house)
5222,"['grab_orange', 'touch_flag']",at any time grab orange or forever touch flag,F(grab_orange)|G(touch_flag)
1664,"['track_towards_tree', 'snatch_up_pear']",at any time track towards tree or snatch up pear,F(track_towards_tree)|snatch_up_pear
1031,"['grab_tree', 'approach_trash_can']",repeatedly grab tree and approach trash can,G(F(grab_tree))&approach_trash_can
1054,"['go_by_waste_basket', 'present_at_flag']",whenever go by waste basket or when possible present at flag,F(go_by_waste_basket)|F(present_at_flag)
1423,"['go_to_tree', 'travel_by_tree']",at some time go to tree or at any time travel by tree,F(go_to_tree)|F(travel_by_tree)
1931,"['going_to_flag', 'visit_house']",when possible going to flag until when possible visit house,F(going_to_flag)UF(visit_house)
5688,"['travel_to_trash_can', 'travel_by_tree']",at some time travel to trash can or whenever travel by tree,F(travel_to_trash_can)|F(travel_by_tree)
1186,"['be_in_houses_vicinity', 'lay_hold_of_apple']",when possible be in house's vicinity and whenever lay hold of apple,F(be_in_houses_vicinity)&F(lay_hold_of_apple)
1775,"['go_by_waste_basket', 'withhold_apple']",at some time go by waste basket can infer that at any time withhold apple,F(go_by_waste_basket)->F(withhold_apple)
3829,"['have_apple', 'secure_pear']",always have apple until whenever secure pear,G(have_apple)UF(secure_pear)
1530,"['move_near_tree', 'grab_hold_pear']",at some time move near tree and grab hold pear,F(move_near_tree)&grab_hold_pear
1365,"['travel_house', 'be_at_house']",whenever travel house or at any time be at house,F(travel_house)|F(be_at_house)
1721,"['get_near_flag', 'drop_pear']",when possible get near flag and drop pear,F(get_near_flag)&drop_pear
2198,"['drop_pear', 'drop_pear']",drop pear or drop pear,drop_pear|drop_pear
3831,"['go_to_flag', 'obtain_pear']",when possible go to flag or whenever obtain pear,F(go_to_flag)|F(obtain_pear)
1462,"['acquire_orange', 'let_go_apple']",acquire orange or when possible let go apple,acquire_orange|F(let_go_apple)
2611,"['make_your_way_flag', 'grasp_apple']",at any time make your way flag or when possible grasp apple,F(make_your_way_flag)|F(grasp_apple)
1158,"['grip_apple', 'stop_by_house']",grip apple or whenever stop by house,grip_apple|F(stop_by_house)
1585,"['stand_by_tree', 'take_apple']",when possible stand by tree until take apple,F(stand_by_tree)Utake_apple
2199,"['drop_pear', 'go_to_orange_bin']",drop pear or go to orange bin,drop_pear|go_to_orange_bin
2076,"['steal_apple', 'hold_onto_orange']",at some time steal apple until always hold onto orange,F(steal_apple)UG(hold_onto_orange)
5183,"['withold_apple', 'venture_house']",at some time withold apple can infer that at any time venture house,F(withold_apple)->F(venture_house)
1117,"['bring_pear', 'withhold_apple']",at any time bring pear and when possible withhold apple,F(bring_pear)&F(withhold_apple)
1248,"['go_visit_flag', 'journey_by_house']",go visit flag or when possible journey by house,go_visit_flag|F(journey_by_house)
1777,"['withhold_apple', 'reach_flag']",whenever withhold apple or when possible reach flag,F(withhold_apple)|F(reach_flag)
4241,"['go_to_waste_basket', 'take_orange']",repeatedly go to waste basket or take orange,G(F(go_to_waste_basket))|take_orange
1435,"['travel_to_waste_bin', 'approach_house']",travel to waste bin or at some time approach house,travel_to_waste_bin|F(approach_house)
4313,"['go_to_home', 'have_possession_of_apple']",when possible go to home or at any time have possession of apple,F(go_to_home)|F(have_possession_of_apple)
1890,"['make_way_waste_basket', 'stop_by_house']",at any time make way waste basket or at some time stop by house,F(make_way_waste_basket)|F(stop_by_house)
1519,"['visit_flag', 'be_near_tree']",at some time visit flag or at some time be near tree,F(visit_flag)|F(be_near_tree)
1041,"['present_at_flag', 'bring_pear']",whenever present at flag and whenever bring pear,F(present_at_flag)&F(bring_pear)
4170,"['make_contact_with_house', 'obtain_orange']",at some time make contact with house and when possible obtain orange,F(make_contact_with_house)&F(obtain_orange)
2600,"['be_at_house', 'get_close_flag']","if at some time be at house , whenever get close flag",F(be_at_house)->F(get_close_flag)
1109,"['secure_apple', 'go_by_waste_basket']",secure apple and at some time go by waste basket,secure_apple&F(go_by_waste_basket)
4348,"['pick_up_apple', 'go_past_house']",whenever pick up apple or whenever go past house,F(pick_up_apple)|F(go_past_house)
1862,"['take_orange', 'let_go_apple']",take orange or at any time let go apple,take_orange|F(let_go_apple)
2221,"['travel_to_house', 'let_go_pear']",at some time travel to house or don't let go pear,F(travel_to_house)|~(let_go_pear)
2000,"['have_in_orange', 'let_go_orange']",always have in orange or don't let go orange,G(have_in_orange)|~(let_go_orange)
4552,"['touch_flag', 'acquire_pear']",forever touch flag and when possible acquire pear,G(touch_flag)&F(acquire_pear)
5666,"['get_close_tree', 'visit_tree']",at some time get close tree and visit tree,F(get_close_tree)&visit_tree
5509,"['tax_apple', 'go_near_flag']",whenever tax apple or at any time go near flag,F(tax_apple)|F(go_near_flag)
2002,"['acquire_apple', 'be_near_tree']",acquire apple and whenever be near tree,acquire_apple&F(be_near_tree)
2660,"['contact_house', 'go_to_flag']",when possible contact house can infer that at some time go to flag,F(contact_house)->F(go_to_flag)
1081,"['approach_house', 'approach_flag']",whenever approach house until at any time approach flag,F(approach_house)UF(approach_flag)
1343,"['venture_towards_house', 'venture_towards_house']",venture towards house or venture towards house,venture_towards_house|venture_towards_house
1135,"['journey_by_flag', 'lay_hold_of_apple']",at any time journey by flag and at any time lay hold of apple,F(journey_by_flag)&F(lay_hold_of_apple)
1646,"['withold_apple', 'capture_pear']",at any time withold apple or whenever capture pear,F(withold_apple)|F(capture_pear)
5548,"['go_to_apple', 'drop_orange']",whenever go to apple and never drop orange,F(go_to_apple)&G(~(drop_orange))
5063,"['move', 'obtain_apple']",forever move or whenever obtain apple,G(move)|F(obtain_apple)
3174,"['drop_pear', 'go_to_flag']",never drop pear means that at any time go to flag,G(~(drop_pear))->F(go_to_flag)
5838,"['go_home', 'get_pear']",whenever go home until at any time get pear,F(go_home)UF(get_pear)
5967,"['get_hold_of_pear', 'go_to_trash_bin']",get hold of pear and at some time go to trash bin,get_hold_of_pear&F(go_to_trash_bin)
3878,"['go_to_trash_bin', 'hold_onto_orange']",at some time go to trash bin or forever hold onto orange,F(go_to_trash_bin)|G(hold_onto_orange)
1845,"['grab_flag', 'withdraw_pear']","if whenever grab flag , when possible withdraw pear",F(grab_flag)->F(withdraw_pear)
3273,"['seize_apple', 'move_past_trash_can']",seize apple or at any time move past trash can,seize_apple|F(move_past_trash_can)
4246,"['go_near_pear', 'set_out_to_house']",at any time go near pear or at some time set out to house,F(go_near_pear)|F(set_out_to_house)
1290,"['make_to_flag', 'drop_pear']",whenever make to flag or drop pear,F(make_to_flag)|drop_pear
3235,"['obtain_apple', 'reach_tree']",at any time obtain apple or when possible reach tree,F(obtain_apple)|F(reach_tree)
2264,"['touch_flag', 'go_to_trash_bin']",always touch flag or at any time go to trash bin,G(touch_flag)|F(go_to_trash_bin)
4295,"['let_go_apple', 'grab_pear']","when never let go apple , whenever grab pear",G(~(let_go_apple))->F(grab_pear)
1359,"['go_near_pear', 'set_out_to_house']",at any time go near pear or when possible set out to house,F(go_near_pear)|F(set_out_to_house)
1941,"['venture_towards_house', 'drop_apple']",venture towards house and never drop apple,venture_towards_house&G(~(drop_apple))
3448,"['visit_tree', 'take_pear']",visit tree or take pear,visit_tree|take_pear
2767,"['go_by_flag', 'travel_to_flag']",when possible go by flag and at some time travel to flag,F(go_by_flag)&F(travel_to_flag)
1436,"['venture_towards_house', 'reach_flag']",venture towards house or whenever reach flag,venture_towards_house|F(reach_flag)
5893,"['move_to_flag', 'make_way_for_tree']",at any time move to flag or when possible make way for tree,F(move_to_flag)|F(make_way_for_tree)
4204,"['pick_up_apple', 'go_to_waste_basket']",when possible pick up apple and repeatedly go to waste basket,F(pick_up_apple)&G(F(go_to_waste_basket))
4147,"['take_to_trash_can', 'acquire_apple']","if take to trash can , acquire apple",take_to_trash_can->acquire_apple
1959,"['take_pear', 'take_to_tree']","if take pear , take to tree",take_pear->take_to_tree
2314,"['collect_orange', 'yield_pear']",whenever collect orange and at some time yield pear,F(collect_orange)&F(yield_pear)
4451,"['move_around', 'move_to_trash_can']",always move around or move to trash can,G(move_around)|move_to_trash_can
3325,"['be_at_house', 'stop_by_trash_can']",at any time be at house or when possible stop by trash can,F(be_at_house)|F(stop_by_trash_can)
3179,"['go_to_trash_bin', 'pick_up_orange']",at some time go to trash bin until pick up orange,F(go_to_trash_bin)Upick_up_orange
3845,"['be_near_tree', 'withold_apple']",whenever be near tree or whenever withold apple,F(be_near_tree)|F(withold_apple)
1169,"['travel_to_house', 'stop_by_flag']",at any time travel to house or stop by flag,F(travel_to_house)|stop_by_flag
1122,"['track_towards_tree', 'get_near_flag']",at some time track towards tree and when possible get near flag,F(track_towards_tree)&F(get_near_flag)
1416,"['present_at_flag', 'bring_pear']",at some time present at flag or whenever bring pear,F(present_at_flag)|F(bring_pear)
2249,"['journey_to_flag', 'acquire_apple']",whenever journey to flag and acquire apple,F(journey_to_flag)&acquire_apple
1735,"['go_by_waste_basket', 'present_at_flag']",whenever go by waste basket or at some time present at flag,F(go_by_waste_basket)|F(present_at_flag)
1532,"['withdraw_pear', 'journey_by_flag']",at some time withdraw pear or at some time journey by flag,F(withdraw_pear)|F(journey_by_flag)
3057,"['acquire_orange', 'pick_up_fruit']",acquire orange or pick up fruit,acquire_orange|pick_up_fruit
4609,"['move_past_trash_can', 'capture_orange']",at some time move past trash can or capture orange,F(move_past_trash_can)|capture_orange
2548,"['let_go_apple', 'go_to_trash_receptacle']",at any time let go apple or at any time go to trash receptacle,F(let_go_apple)|F(go_to_trash_receptacle)
4686,"['acquire_pear', 'go_by_flag']",at some time acquire pear or at any time go by flag,F(acquire_pear)|F(go_by_flag)
1780,"['hold_on_to_pear', 'visit_house']",hold on to pear until when possible visit house,hold_on_to_pearUF(visit_house)
1240,"['snag_orange', 'go_to_trashcan']",whenever snag orange or when possible go to trashcan,F(snag_orange)|F(go_to_trashcan)
1519,"['approach_trash_can', 'clutch_orange']",approach trash can or at some time clutch orange,approach_trash_can|F(clutch_orange)
5256,"['venture_to_waste_basket', 'take_to_tree']",at some time venture to waste basket and take to tree,F(venture_to_waste_basket)&take_to_tree
3457,"['get_hold_apple', 'move_to_house']",at some time get hold apple or move to house,F(get_hold_apple)|move_to_house
1796,"['go_by_waste_basket', 'drop_apple']",at some time go by waste basket or never drop apple,F(go_by_waste_basket)|G(~(drop_apple))
4647,"['venture_to_trash_can', 'scoop_up_pear']",venture to trash can and at some time scoop up pear,venture_to_trash_can&F(scoop_up_pear)
4457,"['reach_trash_can', 'put_in_apple_bucket']",reach trash can or put in apple bucket,reach_trash_can|put_in_apple_bucket
1803,"['venture_towards_house', 'drop_apple']",venture towards house until never drop apple,venture_towards_houseUG(~(drop_apple))
4924,"['go_past_house', 'proceed_to_house']",when possible go past house and at some time proceed to house,F(go_past_house)&F(proceed_to_house)
5013,"['travel_to_house', 'go_by_tree']",whenever travel to house or at some time go by tree,F(travel_to_house)|F(go_by_tree)
2754,"['reach_trash_can', 'get_orange']",reach trash can or at some time get orange,reach_trash_can|F(get_orange)
1979,"['secure_apple', 'go_by_waste_basket']",secure apple means that at some time go by waste basket,secure_apple->F(go_by_waste_basket)
1486,"['secure_apple', 'bring_pear']",secure apple and whenever bring pear,secure_apple&F(bring_pear)
1855,"['have_possession_of_apple', 'withold_apple']",when possible have possession of apple or at some time withold apple,F(have_possession_of_apple)|F(withold_apple)
1655,"['drop_pear', 'hold_on_pear']",drop pear and forever hold on pear,drop_pear&G(hold_on_pear)
1408,"['grab_apple', 'pick_up_apple']",when possible grab apple and whenever pick up apple,F(grab_apple)&F(pick_up_apple)
2809,"['go_to_bucket', 'make_way_to_house']",go to bucket or repeatedly make way to house,go_to_bucket|G(F(make_way_to_house))
1620,"['contact_house', 'go_by_house']",when possible contact house or at any time go by house,F(contact_house)|F(go_by_house)
4614,"['venture_to_waste_basket', 'shift_to_flag']",at any time venture to waste basket until at some time shift to flag,F(venture_to_waste_basket)UF(shift_to_flag)
5357,"['take_pear', 'get_hold_of_pear']",take pear or get hold of pear,take_pear|get_hold_of_pear
4424,"['pick_up_peach', 'take_apple']",at any time pick up peach or take apple,F(pick_up_peach)|take_apple
2995,"['put_in_bin', 'come_home']",put in bin or at some time come home,put_in_bin|F(come_home)
2316,"['approach_flag', 'pick_up_orange']",at any time approach flag or pick up orange,F(approach_flag)|pick_up_orange
1447,"['move', 'get_close_tree']",forever move or at any time get close tree,G(move)|F(get_close_tree)
2369,"['go_near_flag', 'capture_orange']",whenever go near flag or capture orange,F(go_near_flag)|capture_orange
5444,"['make_your_way_flag', 'seize_pear']",when possible make your way flag or at any time seize pear,F(make_your_way_flag)|F(seize_pear)
1683,"['migrate_to_tree', 'be_in_houses_vicinity']",when possible migrate to tree until at any time be in house's vicinity,F(migrate_to_tree)UF(be_in_houses_vicinity)
1766,"['go_to_apple_trashcan', 'track_towards_tree']",repeatedly go to apple trashcan or at any time track towards tree,G(F(go_to_apple_trashcan))|F(track_towards_tree)
1357,"['secure_apple', 'venture_towards_house']",secure apple or venture towards house,secure_apple|venture_towards_house
1121,"['reach_flag', 'present_at_flag']",at any time reach flag or at some time present at flag,F(reach_flag)|F(present_at_flag)
